p.value	estimate	method	df.df	taxonomy	index	qval
0.0036794453889303	1.34066497817955	Welch Two Sample t-test	3.3440032811008	Escherichia coli (strain K12)	773	0.0238426157220593
0.00368423225251821	1.182901803779	Welch Two Sample t-test	2.73039153946479	Escherichia coli (strain K12)	774	0.023842789861581
0.00369327786382189	1.25788106558814	Welch Two Sample t-test	2.21518048428505	Escherichia coli (strain K12)	775	0.0238704887998501
0.00369999425221848	-0.270338666548172	Welch Two Sample t-test	3.98583279203418	Homo sapiens	776	0.0238830814553639
0.00372419676865674	-0.85289624319544	Welch Two Sample t-test	2.97830781285434	Homo sapiens	777	0.0240083675858451
0.00375742864115397	1.34799487001617	Welch Two Sample t-test	2.07135962713892	Escherichia coli (strain K12)	778	0.0241914653773011
0.00376319469760741	1.16092453719503	Welch Two Sample t-test	2.02697634866526	Escherichia coli (strain K12)	779	0.0241974868296733
0.00381467387126377	-0.732203511372089	Welch Two Sample t-test	3.9518404539857	Homo sapiens	780	0.0244934395525697
0.00382314850736854	1.19203732042222	Welch Two Sample t-test	2.36340470125567	Escherichia coli (strain K12)	781	0.0244934395525697
0.00382389094232572	1.37038080191173	Welch Two Sample t-test	3.22198323414825	Escherichia coli (strain K12)	782	0.0244934395525697
0.00385996576464834	0.883067070032781	Welch Two Sample t-test	2.56393931956724	Escherichia coli (strain K12)	783	0.0246805412875254
0.00386295555388699	2.00846997827529	Welch Two Sample t-test	2.38241289775479	Escherichia coli (strain K12)	784	0.0246805412875254
0.00387353022809422	-0.752869410993416	Welch Two Sample t-test	3.25129836509202	Homo sapiens	785	0.0247165769586292
0.00390503088240526	0.973694481081085	Welch Two Sample t-test	3.10648407064789	Escherichia coli (strain K12)	786	0.0248744452653614
0.00390897325225769	2.08822233130034	Welch Two Sample t-test	2.78882110545035	Escherichia coli (strain K12)	787	0.0248744452653614
0.00392123011611255	1.12869820553319	Welch Two Sample t-test	2.589210015221	Escherichia coli (strain K12)	788	0.0248744452653614
