	Organism	hpd_2.5	hpd_97.5	mc_error	mean	n_peptides	sd
Q9Y5L4		-0.12694726111331267	0.031133442600882244	0.000427752191095614	-0.04668273339012411	2.0	0.04060167409543916
Q9Y678		-0.18652884589396113	0.055541433723878875	0.0006562063395169138	-0.06273809211757271	2.0	0.06199520330277665
Q9Y696		-0.26153867971457156	-0.07032316137006123	0.0005136421665282826	-0.16085548600803687	2.0	0.04881144853285102
A0A075B6E2, P39019		-0.10783801135683269	0.029178283056353616	0.0003301897166923781	-0.038171701867605996	3.0	0.03524092171505406
A0A087WYT3, Q15185		-0.16653311721987307	0.09276654339138268	0.0007063666983085353	-0.03807378917599352	3.0	0.0658231181156656
A0A087X027, A0A0C4DFV9, P0DME0, Q01105		-0.09842980481619179	0.2536704963528036	0.0008285353323703468	0.07577708549465932	3.0	0.08951638288208481
A0A087X054, Q9Y4L1		-0.6601983791982922	-0.3490948978452715	0.000658541793441048	-0.49486398625995154	3.0	0.07878207014905701
A0A087X090, P14324		-0.04571679067099099	0.1503260636891559	0.0003859943606192791	0.05129929586320081	3.0	0.04974481420892804
A0A0A0MR02, P45880		-0.08978809392291542	0.04236100477013016	0.0003349797964857891	-0.023375514641081774	3.0	0.03387028976699939
A0A0A6YYJ8, Q9Y383		-0.4344144157289038	-0.25488625865910897	0.0004143373154138201	-0.34384902578473	3.0	0.04583475807930348
A0A0B4J1Z1, C9JAB2, Q16629		-0.14587790614075025	0.1654711640765214	0.0007848584225953914	0.00988762440471664	3.0	0.07940804022200573
A0A0C4DG17, C9J9K3, P08865		-0.10657897319441745	0.043836084296858924	0.000411959676646832	-0.02866113544722782	3.0	0.03780911652587937
A0A0G2JIW1, P0DMV8, P0DMV9		-0.2733864048226158	-0.14095499763422903	0.00031823404349129545	-0.20566061330496058	3.0	0.03384479181923648
A0A140T936, P26640		-0.11221714784005199	0.12575344394064847	0.0005807404068104568	0.002788826879570863	3.0	0.05992232205779443
B4DDD6, H0Y5J4, Q9UJU6		-0.16874180165448216	-0.0314400936099577	0.0003621327178160316	-0.09932510341474757	3.0	0.03493160770493056
B4DNK4, P14618		0.05270153890642082	0.17943454437204293	0.0002901218643752232	0.11428373360691525	3.0	0.03268411128884077
B7Z9I1, P11310, Q5T4U5		-0.09619407711989814	0.028491905617620494	0.00032976446863203717	-0.03231821326273785	3.0	0.03189473891122631
B8ZZA1, B8ZZQ6, B8ZZW7, H7C2N1, P06454		-0.08946560447707164	0.596222460445374	0.0016259945160698342	0.2325884981550473	3.0	0.17375855501134313
C9JJK5, H0Y2Y8, Q15942		-0.22238471590503894	-0.06972398031295879	0.0004040830816612992	-0.14518692466563224	3.0	0.0387698767414604
E7EQR6, F5H282, P17987		-0.23866953515508493	0.18111942670586711	0.0010649931676113646	-0.018894672141894615	3.0	0.10633194505022955
E7EQU1, E7ES08, E9PES6, O15347		-0.1608697408583335	-0.031476374948891994	0.0003702634533586177	-0.09553117423454839	3.0	0.03291222996793382
F8VY04, F8W1A4, P54819		-0.35827659260970457	-0.13118305951830367	0.0006342599655016264	-0.24307367542580727	3.0	0.058819655144901326
H0Y8G5, H0YA96, Q14103		-0.7473749639844913	-0.36503563305677034	0.001012754149531776	-0.5473363427506813	3.0	0.09899219422919493
J3KTA4, P17844		0.00911186613142334	0.1702149557181991	0.0004830916114521534	0.08791985629041843	3.0	0.04138359981306692
K7ERZ3, O60664		-0.16922975666942874	0.13986861338135625	0.0007335220858264371	-0.0059652172938219625	3.0	0.07788704889335438
M0R0F0, M0R0R2, P46782		-0.3817435622484907	0.34001786908297515	0.0016958438857705073	-0.015056921622940731	3.0	0.18067036439027448
O14773		-0.16048215463305804	0.07680526641734364	0.0006548788974428358	-0.03953790016532555	3.0	0.06031112213991477
O15144		-0.9783741416794789	-0.514463817159653	0.0011005474580646495	-0.7453101851011729	3.0	0.1199748531091355
O43175		-0.10803000976771204	0.06031753646100202	0.00045760291995244884	-0.023937571430175088	3.0	0.04288482777483575
O60814, P57053, P58876, P62807, Q5QNW6, Q93079, Q99877, Q99879, Q99880, U3KQK0		-0.08785476423532948	0.2664060617111775	0.0009299181640407781	0.0630557013246089	3.0	0.0918698952132262
O75396		-0.04554605771115039	0.08891378851398568	0.00035309504243247306	0.02079925766119776	3.0	0.03421420881173855
O95881		-0.1566410322238363	-0.005265274597302527	0.0003981415671418672	-0.07742249099203548	3.0	0.03849398634707837
P02545, Q3BDU5		-0.06554313221552166	0.08277796153779615	0.00040626312280563607	0.0080163467666151	3.0	0.03804706328147892
P06576		-0.3320371182310147	0.012144115479531314	0.0009455942096947235	-0.15152495858584467	3.0	0.08878510306867782
P07195		-0.2234816856941313	0.056878302559149496	0.0006704290227501035	-0.08439230894064252	3.0	0.07174712251699719
P08621		-0.18201369683790358	-0.012238761000444631	0.00046949196085907557	-0.09783057450081321	3.0	0.04342472206062738
P0DN76, Q01081		0.012718414097432573	0.14658958220475382	0.0003587394208417627	0.0786737932643589	3.0	0.03435037227942976
P10253		-0.07749434427181812	0.06950670443102158	0.0003738688072367171	-0.007862153810569296	3.0	0.03759376544648977
P13674		-0.020470477355817973	0.19582438991473627	0.0005943700512287982	0.08735205490835651	3.0	0.05520065958520216
P17858		-0.25728340481880885	-0.06145029513108091	0.0005201175581380093	-0.15850806395378286	3.0	0.049895960911046096
P22307		-0.11578689462436564	0.026288678919510478	0.00037920938546905124	-0.04677851511115081	3.0	0.03634264268697214
P23526		-0.28208323223861487	-0.09622642485873079	0.0005054109174421741	-0.18840867657505583	3.0	0.04752938358118263
P28838		0.04155618262399652	0.26805685548256597	0.0005186482861496136	0.15816301284038237	3.0	0.058051408188601515
P30048		-0.2169149644878262	-0.0729452882435393	0.00038686012905067563	-0.1461748499276673	3.0	0.03632348209240593
P31946		-0.41059830356463456	-0.07270512189714107	0.0010036754328802025	-0.23816286965193653	3.0	0.08637380387064611
P37837		-0.5286619145820073	0.0180109571403555	0.0013652883916020246	-0.25598782532764536	3.0	0.140033932393664
P50552		-0.4861146938925436	-0.2568004680574456	0.0005660995775773787	-0.36713908843585175	3.0	0.05932651774119689
P62857		-0.2817724529352956	-0.12563823425026022	0.0004199795087130205	-0.20438869663293827	3.0	0.039869988294761495
P84095		0.016079218298924447	0.14981762519463593	0.00037306263125124004	0.08221257186807215	3.0	0.03398579118833273
Q14697		-0.04165944632995289	0.3886086399044595	0.0010066037886942152	0.1738678296823569	3.0	0.10944205073247695
Q15233		0.0467225705898362	0.17361042974590757	0.0003535015183994299	0.10650293368271739	3.0	0.03245023798136367
Q5T123, Q9H299		0.07163755886069834	0.1671102743833106	0.0002444890086800499	0.11882284028040106	3.0	0.024551934722490083
Q8NC51		-0.6036694260323623	-0.08874592963315342	0.0014016669034080695	-0.3436569433603138	3.0	0.1323542724530345
Q8WUM4		-0.12312112972599398	0.05320068090928198	0.00045969771736574137	-0.03258801323373414	3.0	0.04479619027286266
Q92688		-0.14525229093642733	0.16933520780425115	0.0008423104089082592	0.013514215555511324	3.0	0.08051869988366335
Q9BS26		0.07060094876098266	0.22399516830861232	0.00040126025191688554	0.1466363437292041	3.0	0.03953762168987124
Q9BT09		-0.06170436494275311	0.05847525706266388	0.0002904461319230711	-0.0014130545855565654	3.0	0.030433889105977826
Q9BVK6		-0.15843620961507554	0.0021895334910082553	0.00040859804947867846	-0.07777360166407106	3.0	0.04091116406221743
Q9Y617		-0.30926177711209624	-0.14521700946294658	0.00043020451327294395	-0.22834757091594649	3.0	0.04206284087772601
A0A087WUK2, O14979		-0.06426663573292002	0.0579582397363223	0.000337989706230585	-0.002393104485913992	4.0	0.031542315154506465
A0A087WUQ6, P07203		-0.08594781511480099	0.07666702368184186	0.0003946292740052419	-0.004768293435988592	4.0	0.041469859341712434
A0A0A0MSX9, J3KR24, P41252		-0.38494383960144085	-0.21382318371442466	0.00042935296448275395	-0.2986787536470964	4.0	0.04322759200066023
